UID,Platform
0x101F6F88,Series 60 v0.9
0x101F8202,Series 60 v1.2
0x101F7960,Series 60 v2.0
0x101F9115,S60 2nd Edition FP1
0x10200BAB,S60 2nd Edition FP2
0x102032BD,S60 2nd Edition FP3
0x101F7961,S60 3rd Edition
0x102032BE,S60 3rd Edition FP1
0x102752AE,S60 3rd Edition FP2
0x1028315F,S60 5th Edition
0x20022E6D,Symbian Anna
0x2003A678,Nokia Belle
0x101F617B,UIQ v2.0
0x101F61CE,UIQ v2.1
0x101F6300,UIQ v3.0
0x101F63DF,UIQ v3.1
0x101F80BE,UIQ v2.0
0x101F408B,UIQ v2.0
0x101FBB35,UIQ v2.1
0x10200AC6,UIQ v2.1
0x101FB2AE,UIQ v2.1
0x101F8ED2,Series 80 v2.0
0x101FBE05,Series 90
0x101FBE04,Series 90
0x101F4FC3,Series 60 v0.9
0x101F466A,Series 60 v1.2
0x101F8C19,Series 60 v1.2
0x101FB2B1,Series 60 v1.2
0x101FA031,Series 60 v1.2
0x101F9071,Series 60 v1.2
0x101FB3DD,Series 60 v2.0
0x101FF525,Series 60 v2.0
0x10200F97,S60 2nd Edition FP1
0x101FB3F4,S60 2nd Edition FP1
0x1020216B,S60 2nd Edition FP1
0x101F3EE3,S60 2nd Edition FP1
0x101FD5DC,S60 2nd Edition FP1
0x101FB3F3,S60 2nd Edition FP1
0x101FBB55,S60 2nd Edition FP2
0x10200F99,S60 2nd Edition FP2
0x10200F9C,S60 2nd Edition FP2
0x10200F9B,S60 2nd Edition FP2
0x10200F9A,S60 2nd Edition FP3
0x10200F98,S60 2nd Edition FP3
0x200005F8,S60 3rd Edition
0x20000602,S60 3rd Edition
0x20002495,S60 3rd Edition
0x20001856,S60 3rd Edition
0x20001858,S60 3rd Edition
0x20002D7F,S60 3rd Edition
0x20001859,S60 3rd Edition
0x20000604,S60 3rd Edition
0x20001857,S60 3rd Edition
0x200005FF,S60 3rd Edition
0x200005FB,S60 3rd Edition
0x200005FE,S60 3rd Edition
0x20000601,S60 3rd Edition
0x200005F9,S60 3rd Edition
0x200005FC,S60 3rd Edition
0x200005FA,S60 3rd Edition
0x20000600,S60 3rd Edition
0x20000605,S60 3rd Edition
0x20008610,S60 3rd Edition
0x20002D7C,S60 3rd Edition FP1
0x20002D7B,S60 3rd Edition FP1
0x20002D7E,S60 3rd Edition FP1
0x2000DA55,S60 3rd Edition FP1
0x20000606,S60 3rd Edition FP1
0x20002498,S60 3rd Edition FP1
0x200025C3,S60 3rd Edition FP1
0x2000249C,S60 3rd Edition FP1
0x2000249B,S60 3rd Edition FP1
0x20002496,S60 3rd Edition FP1
0x2000060A,S60 3rd Edition FP1
0x20002D83,S60 3rd Edition FP1
0x20002D85,S60 3rd Edition FP1
0x2000060B,S60 3rd Edition FP1
0x20002D84,S60 3rd Edition FP1
0x101FF809,S60 3rd Edition FP1
0x2000C51D,S60 3rd Edition FP1
0x2000A677,S60 3rd Edition FP1
0x20003ABD,S60 3rd Edition FP1
0x2000A678,S60 3rd Edition FP1
0x2000C51C,S60 3rd Edition FP1
0x2000DA5A,S60 3rd Edition FP2
0x2000DA61,S60 3rd Edition FP2
0x20014DD3,S60 3rd Edition FP2
0x2000DA54,S60 3rd Edition FP2
0x2000DA52,S60 3rd Edition FP2
0x2000DA57,S60 3rd Edition FP2
0x2001DE9B,S60 3rd Edition FP2
0x20014DD1,S60 3rd Edition FP2
